review_id,user_id,product_id,rating,review_text,review_date
1,6,335,5,"Amazing quality, highly recommended.",2025-04-24 01:50:26
2,34,455,1,"Item arrived damaged, bad experience.",2026-02-15 13:06:59
3,73,433,3,"Okay quality, expected a bit more.",2026-05-14 22:30:58
4,472,297,4,Solid value for money.,2026-01-14 16:00:56
5,129,520,4,"Good product, does the job well.",2026-05-04 02:03:13
6,464,311,4,"Happy with the purchase, works as described.",2026-02-04 00:16:11
7,375,105,5,"Amazing quality, highly recommended.",2025-08-21 11:18:31
8,170,37,1,Very disappointed with this product.,2026-07-19 08:46:29
9,389,62,3,"Average product, works fine for daily use.",2025-09-22 21:21:20
10,318,63,3,Does the job but packaging could be better.,2025-04-01 07:25:55
11,484,302,5,"Exceeded my expectations, will buy again.",2026-04-11 21:34:30
12,140,483,4,"Nice quality, minor improvements possible.",2025-03-22 03:36:20
13,333,181,2,"Not very satisfied, quality could be better.",2025-11-19 16:03:17
14,402,484,3,"Okay quality, expected a bit more.",2025-11-21 23:21:49
15,95,367,3,"Average product, works fine for daily use.",2025-10-30 19:24:06
16,226,266,5,"Exceeded my expectations, will buy again.",2025-08-11 09:35:53
17,146,533,5,"Exceeded my expectations, will buy again.",2026-04-20 21:07:37
18,174,549,5,"Exceeded my expectations, will buy again.",2025-09-17 15:03:19
19,366,600,3,Does the job but packaging could be better.,2025-05-21 19:04:53
20,431,346,4,"Good product, does the job well.",2025-02-16 17:52:57
21,358,201,4,Solid value for money.,2025-11-05 07:30:49
22,466,235,5,"Best purchase this year, works flawlessly.",2025-04-10 11:40:19
23,252,295,1,Very disappointed with this product.,2025-09-27 17:27:52
24,277,2,5,"Amazing quality, highly recommended.",2025-08-09 10:08:28
25,185,235,3,"Okay quality, expected a bit more.",2025-03-05 17:23:04
26,468,249,1,Very disappointed with this product.,2026-06-16 04:33:57
27,82,195,3,Does the job but packaging could be better.,2026-03-27 16:13:40
28,469,191,5,"Excellent product, totally worth the price!",2026-06-05 16:14:39
29,288,223,5,"Excellent product, totally worth the price!",2025-11-14 11:56:06
30,226,507,5,"Excellent product, totally worth the price!",2025-08-03 09:35:53
31,79,66,5,"Best purchase this year, works flawlessly.",2026-04-01 07:50:44
32,75,524,3,"Average product, works fine for daily use.",2025-06-15 13:04:05
33,257,106,4,"Nice quality, minor improvements possible.",2025-10-04 13:31:40
34,446,318,3,Does the job but packaging could be better.,2025-09-23 14:17:32
35,124,340,4,"Nice quality, minor improvements possible.",2026-01-14 09:14:07
36,385,100,4,Solid value for money.,2026-06-27 18:30:22
37,221,403,5,"Exceeded my expectations, will buy again.",2026-03-24 15:44:11
38,458,3,5,"Amazing quality, highly recommended.",2025-09-01 04:29:35
39,35,147,5,"Exceeded my expectations, will buy again.",2025-11-26 14:13:54
40,402,219,1,"Poor quality, would not recommend.",2026-01-07 21:57:12
41,104,584,3,"Okay quality, expected a bit more.",2025-07-20 16:10:19
42,469,510,4,"Nice quality, minor improvements possible.",2026-05-26 16:14:39
43,146,413,2,"Not very satisfied, quality could be better.",2026-04-17 23:16:49
44,494,582,4,"Good product, does the job well.",2025-08-06 07:39:53
45,320,309,5,"Exceeded my expectations, will buy again.",2026-06-03 10:51:08
46,490,370,5,"Excellent product, totally worth the price!",2025-10-19 12:42:07
47,110,527,5,"Amazing quality, highly recommended.",2026-05-23 14:06:20
48,98,54,3,"Okay quality, expected a bit more.",2025-10-30 12:24:46
49,332,22,3,"Okay quality, expected a bit more.",2025-05-17 22:01:05
50,1,555,5,"Exceeded my expectations, will buy again.",2026-01-07 21:25:32
51,169,196,4,"Happy with the purchase, works as described.",2025-09-23 03:01:38
52,243,57,5,"Best purchase this year, works flawlessly.",2026-02-10 20:52:45
53,287,331,4,"Happy with the purchase, works as described.",2025-01-30 12:26:35
